# beta angle      beta time        fraction
       5.000      294.00556        0.07815
       5.526      325.29028        0.08647
       6.053      356.52361        0.09477
       6.579      387.96667        0.10313
       7.105      419.44306        0.11149
       7.632      450.98889        0.11988
       8.158      482.78472        0.12833
       8.684      514.64028        0.13680
       9.211      546.54444        0.14528
       9.737      578.83750        0.15386
      10.263      611.12500        0.16244
      10.789      643.73472        0.17111
      11.316      676.61667        0.17985
      11.842      709.58611        0.18862
      12.368      742.94583        0.19748
      12.895      776.66806        0.20645
      13.421      810.60694        0.21547
      13.947      844.98472        0.22461
      14.474      879.67083        0.23383
      15.000      914.73611        0.24315
